pid,nom,cpu,memoire_MB,etat,heure_lancement,anomalie
12504,msedge.exe,0.0,20.16,running,02:03:25,normal
12648,Code.exe,0.0,69.88,running,15:17:37,anormal
12716,chrome.exe,0.0,7.46,running,01:04:03,normal
12772,WmiPrvSE.exe,0.0,9.73,running,15:48:23,normal
12904,pet.exe,0.0,4.95,running,17:59:28,normal
12924,svchost.exe,0.0,5.74,running,13:25:50,normal
12984,powershell.exe,0.0,8.57,running,17:59:41,normal
12992,conhost.exe,0.0,5.82,running,10:23:14,normal
12996,conhost.exe,0.0,5.55,running,18:00:02,normal
13008,svchost.exe,0.0,5.93,running,04:55:05,normal
13064,chrome.exe,0.0,141.39,running,01:03:03,anormal
13072,GitHubDesktop.exe,0.0,34.04,running,12:53:19,normal
13152,chrome.exe,0.0,4.39,running,01:03:04,normal
13400,svchost.exe,0.0,10.8,running,02:00:11,normal
13436,chrome.exe,0.0,11.25,running,01:03:08,normal
13472,chrome.exe,0.0,42.59,running,15:48:50,normal
13884,chrome.exe,0.0,254.34,running,01:03:26,anormal
13904,Code.exe,0.0,10.53,running,17:59:26,normal
14000,svchost.exe,0.0,5.19,running,01:03:32,normal
14048,CodeSetup-stable-4949701c880d4bdb949e3c0e6b400288da7f474b.tmp,0.0,13.38,running,18:00:27,normal
14096,svchost.exe,0.0,6.76,running,01:03:50,normal
14272,chrome.exe,0.0,10.31,running,01:03:58,normal
14436,opera.exe,0.0,18.69,running,06:45:28,normal
14520,Code.exe,0.0,20.22,running,17:59:59,normal
14600,WUDFHost.exe,0.0,5.88,running,11:46:38,normal
14732,svchost.exe,0.0,32.66,running,15:45:14,normal
14812,python.exe,0.0,61.58,running,15:49:30,normal
14876,opera.exe,0.0,40.14,running,06:45:29,normal
14924,SearchApp.exe,0.0,3.89,stopped,01:04:17,normal
14928,mmc.exe,0.0,32.88,running,01:03:44,normal
14952,msedge.exe,0.0,16.55,running,12:46:24,normal
15164,msedge.exe,0.0,11.24,running,02:01:44,normal
15212,Video.UI.exe,0.0,10.58,stopped,01:31:59,normal
15260,EXCEL.EXE,0.0,25.84,running,12:35:23,normal
15328,Code.exe,0.0,258.3,running,15:17:27,anormal
15352,Code.exe,0.0,61.86,running,17:58:48,normal
15480,ApplicationFrameHost.exe,0.0,8.59,running,01:05:51,normal
15504,Code.exe,0.0,28.89,running,15:17:37,normal
15516,Code.exe,0.0,88.18,running,17:58:43,anormal
15548,Code.exe,0.0,59.54,running,15:17:27,anormal
15784,chrome.exe,0.0,260.94,running,14:38:23,anormal
15872,msedge.exe,0.0,8.38,running,12:42:46,normal
16336,Code.exe,0.0,111.69,running,17:58:42,anormal
16556,chrome.exe,0.0,30.45,running,12:57:00,normal
16560,python.exe,0.0,3.15,running,18:00:28,normal
16772,MsMpEng.exe,0.0,264.93,running,17:22:14,anormal
16868,Photos.exe,0.0,65.3,running,10:27:05,normal
16916,conhost.exe,0.0,6.07,running,18:00:28,normal
17028,GitHubDesktop.exe,0.0,20.21,running,12:53:20,normal
17316,GitHubDesktop.exe,0.0,15.91,running,12:53:20,normal
17396,opera.exe,0.0,15.89,running,06:45:40,normal
17776,AggregatorHost.exe,0.0,8.68,running,13:42:49,normal
17780,msedge.exe,0.0,12.18,running,02:01:31,normal
18000,msedge.exe,0.0,13.0,running,02:03:19,normal
18016,Code.exe,0.0,84.0,running,17:59:07,anormal
18136,taskhostw.exe,0.0,19.91,running,14:33:43,normal
18188,python.exe,0.0,12.94,running,18:00:31,normal
18240,chrome.exe,0.0,20.93,running,12:36:40,normal
18292,opera.exe,0.0,18.82,running,06:45:27,normal
18312,wlanext.exe,0.0,7.51,running,10:23:14,normal
18356,Code.exe,0.0,16.24,running,17:59:40,normal
18364,msedge.exe,0.0,25.61,running,02:03:18,normal
18444,WINWORD.EXE,0.0,10.32,running,01:46:20,normal
18508,opera.exe,0.0,20.38,running,06:45:28,normal
18744,svchost.exe,0.0,20.21,running,07:12:30,normal
18876,msedge.exe,0.0,8.31,running,02:03:25,normal
19388,Code.exe,0.0,62.89,running,17:58:49,normal
19492,python.exe,0.0,4.38,running,06:30:33,normal
19544,opera.exe,0.0,30.53,running,06:45:41,normal
19556,opera.exe,0.0,31.44,running,06:45:39,normal
19624,Code.exe,0.0,15.91,running,10:44:50,normal
19676,opera.exe,0.0,43.03,running,06:45:26,normal
19736,msedge.exe,0.0,9.69,running,02:01:31,normal
20092,NisSrv.exe,0.0,11.73,running,17:22:25,normal
20288,conhost.exe,0.0,6.59,running,15:17:43,normal
20428,python.exe,0.0,3.14,running,06:30:33,normal
20440,conhost.exe,0.0,5.84,running,17:59:40,normal
21084,OneDrive.exe,0.0,37.27,running,15:15:53,normal
21140,powershell.exe,0.0,63.96,running,15:17:38,normal
21928,conhost.exe,0.0,10.77,running,15:17:35,normal
22144,conhost.exe,0.0,6.5,running,15:17:38,normal
22544,Code.exe,0.0,518.16,running,15:17:49,anormal
23092,chrome.exe,0.0,70.38,running,15:13:30,anormal
23404,Taskmgr.exe,0.0,58.66,running,15:34:41,normal
